ID,Feature Area,Test Case,Steps,Expected Result,Priority,Status,Notes
L-01,Landing Page,Page loads correctly,"Open the app in a browser (npm run dev, visit localhost)",Hero section with title 'Learn to talk to AI' and snow shoveling demo are visible,Critical,,
L-02,Landing Page,Help button visible in upper right,"Look at the top-right of the landing page",Small 'Help' button with HelpCircle icon is visible,High,,
L-03,Landing Page,Help button navigates to Help page,"Click the Help button in upper right",Help page loads with all sections. Header nav appears at top.,High,,
L-04,Landing Page,Snow shoveling demo — bad example visible,"Look at the demo card",Bad prompt 'Do you know how to shovel snow faster?' with AI response 'Yes.' is visible,Critical,,
L-05,Landing Page,Snow shoveling demo — reveal good example,"Click 'Now see what happens with a better request'",Good prompt and detailed AI response fade in. Insight callout appears below.,Critical,,
L-06,Landing Page,CTA button works,"Click 'Try It Yourself' button",Navigates to Scenario Selector page,Critical,,
L-07,Landing Page,AI safety callout visible,"Look below the CTA button",Text about AI tools being 'powerful but not perfect' with link to Help page is visible,High,,
L-08,Landing Page,AI safety link works,"Click 'Learn how to verify what you get back'",Navigates to Help page,Medium,,
L-09,Landing Page,8 skills grid displays,"Scroll down past the CTA",All 8 communication principles shown in a 2-column grid with icons and descriptions,High,,
L-10,Landing Page,Footer displays,"Scroll to the bottom",Footer with NeuroBridge attribution is visible,Low,,
N-01,Navigation,Header appears on non-landing pages,"Navigate to Scenarios page",Sticky header with PromptBridge logo and nav buttons (Scenarios / Progress / Help / Settings) is visible,Critical,,
N-02,Navigation,Header hidden on landing page,"Click the PromptBridge logo to return to landing",Header disappears. Only the landing page content and its own Help button are visible.,High,,
N-03,Navigation,Scenarios button works and highlights,"Click 'Scenarios' in header",Scenario Selector loads. Scenarios button has indigo active styling.,Critical,,
N-04,Navigation,Progress button works and highlights,"Click 'Progress' in header",Progress page loads. Progress button has indigo active styling. Badge shows X/8.,Critical,,
N-05,Navigation,Help button works and highlights,"Click the HelpCircle icon in header",Help page loads. Help icon has indigo active styling.,High,,
N-06,Navigation,Settings button works and highlights,"Click the Settings gear icon in header",Settings page loads. Settings icon has indigo active styling.,High,,
N-07,Navigation,Logo returns to landing,"Click 'PromptBridge' logo text in header",Landing page loads. Header disappears.,High,,
N-08,Navigation,Scenarios button active during guided/freeform,"Start a guided scenario, check header",Scenarios button remains highlighted in indigo while in guided or freeform mode,Medium,,
H-01,Help Page,All sections render,"Navigate to Help page, scroll through",All sections visible: What is PromptBridge / How does it work / Where should I start / Tracking your progress / 8 skills / Using AI wisely / API key / Privacy,Critical,,
H-02,Help Page,Four modes described,"Check the 'How does it work?' section","Four mode cards shown: Guided Practice, Write Your Own, Write First (with 'Requires API key' badge), Practice Iterating (with badge)",High,,
H-03,Help Page,Learning path steps,"Check 'Where should I start?' section","Numbered 1-4 path: Start with Guided → Follow recommendations → Write your own → Check progress",High,,
H-04,Help Page,Start Practicing button works,"Click 'Start Practicing' button in 'Where should I start?' section",Navigates to Scenario Selector,High,,
H-05,Help Page,Progress and Assessment section,"Check 'Tracking your progress' section",Progress Page and Skill Assessment described. Personalization question mentioned.,High,,
H-06,Help Page,8 skills list complete,"Check 'What are the 8 skills?' section",All 8 principles listed with icons and descriptions matching the landing page,High,,
H-07,Help Page,AI safety section — 6 risks,"Check 'Using AI wisely' section","6 numbered risk items visible: hallucinations, review output, not professional advice, privacy, biases, cutoff date",Critical,,
H-08,Help Page,AI safety — verification techniques,"Check the verification techniques box within the safety section","4 techniques listed: source links, confidence question, run twice, document grounding",Critical,,
H-09,Help Page,API key section — with/without breakdown,"Check 'What's an API key?' section",Two lists clearly show what works without a key and what unlocks with a free key,High,,
H-10,Help Page,Google AI Studio link works,"Click the 'Get a free key at Google AI Studio' link",Opens Google AI Studio in a new tab,Medium,,
H-11,Help Page,Settings link works,"Click 'Settings' link in the API key section",Navigates to Settings page,Medium,,
H-12,Help Page,Privacy section accurate,"Check 'Is my data private?' section",States data stays in browser and API calls go directly to provider,High,,
H-13,Help Page,Bottom CTA works,"Click 'Start Practicing' button at the bottom of the page",Navigates to Scenario Selector,Medium,,
P-01,Personalization,Onboarding banner appears on first visit,"Clear localStorage, navigate to Scenario Selector","Banner asks 'What do you use AI for?' with 5 pill buttons: Work emails & docs, Coding & tech, School & learning, Personal projects, A bit of everything",High,,
P-02,Personalization,Selecting a context dismisses banner,"Click 'Work emails & docs' pill",Banner disappears. Choice is saved.,High,,
P-03,Personalization,Context persists on refresh,"Select a context, refresh the page",Banner does not reappear. Context is remembered.,High,,
P-04,Personalization,Dismiss banner without selecting,"Click the X button on the banner",Banner disappears for this session. No context is saved.,Medium,,
P-05,Personalization,Scenarios sort by relevance,"Select 'Work emails & docs', check scenario order",Work-related scenarios (email draft, meeting summary, etc.) appear first within each category group,Medium,,
P-06,Personalization,Context passed to freeform analysis,"Select a context, complete a freeform scenario with API key","Freeform analysis feedback is tailored to the user's context (e.g., mentions work context)",Medium,,
SS-01,Scenario Selector,Page loads with all scenarios,"Navigate to Scenario Selector","Title 'Choose a Scenario', two tabs (Guided Practice, Write Your Own), and scenario cards grouped by category are visible",Critical,,
SS-02,Scenario Selector,Guided tab shows 30 scenarios,"Click 'Guided Practice' tab, count scenarios",30 scenario cards across 4 categories (Vague vs Specific / Context & Framing / Iterative Refinement / Smart Strategies),Critical,,
SS-03,Scenario Selector,Freeform tab shows 3 scenarios,"Click 'Write Your Own' tab",3 scenario cards in the Full Conversation Loop category,Critical,,
SS-04,Scenario Selector,Write First tab appears with API key,"Configure an API key in Settings, return to Scenario Selector","Third tab 'Write First' is visible and clickable",High,,
SS-05,Scenario Selector,Write First tab disabled without API key,"Clear API key, check Scenario Selector","'Write First' tab is grayed out with '(API key)' text",High,,
SS-06,Scenario Selector,Scenario cards show title and situation,"Look at any scenario card",Title in bold and situation description visible,Critical,,
SS-07,Scenario Selector,Principle badges on cards,"Look at the bottom of any scenario card",Principle badges (e.g., 'Be specific, not vague') shown in indigo pills,High,,
SS-08,Scenario Selector,Completed scenarios show checkmark,"Complete a guided scenario, return to Scenario Selector",Completed scenario has a green checkmark in the top-right corner,High,,
SS-09,Scenario Selector,Recommended scenarios show 'Next' badge,"Complete 1-2 scenarios, return to Scenario Selector","Up to 3 uncompleted scenarios show a sparkle 'Next' badge based on unpracticed principles",High,,
SS-10,Scenario Selector,Practice Iterating button on eligible scenarios,"With API key, look at Category 3 (Iterative Refinement) scenario cards","Amber 'Practice iterating' button visible on eligible scenarios (3.1 through 3.7, 5.1 through 5.3)",High,,
SS-11,Scenario Selector,Clicking a guided scenario opens Guided Mode,"Click any guided scenario card",Guided Mode page loads with the scenario's title and situation,Critical,,
SS-12,Scenario Selector,Clicking a freeform scenario opens Freeform Mode,"Switch to Write Your Own tab, click a scenario",Freeform Mode page loads with the scenario's title and situation,Critical,,
SS-13,Scenario Selector,Clicking a hybrid scenario opens Hybrid Mode,"Switch to Write First tab, click a scenario",Hybrid Mode page loads with the scenario's title and situation,High,,
SS-14,Scenario Selector,Clicking Practice Iterating opens Multi-Turn Mode,"Click the 'Practice iterating' button on an eligible scenario",Multi-Turn Mode page loads with the scenario's title and situation,High,,
SS-15,Scenario Selector,Category sections have correct headings,"Check each category group","Headings match: Vague vs. Specific, Context & Framing, Iterative Refinement, Smart Strategies, Full Conversation Loop",Medium,,
G-01,Guided Mode,Scenario header displays,"Open any guided scenario",Scenario title and situation shown in a card at the top,Critical,,
